"","Temperature","","","Dew Point","","","Humidity","","","Speed","","","Pressure","","Precip. Accum."
"Date","High","Avg","Low","High","Avg","Low","High","Avg","Low","High","Avg","Low","High","Low","Sum"
"6/1/2023","11.4ʡC","6.7ʡC","1.6ʡC","-0.5ʡC","-2.3ʡC","-4.1ʡC","73ʡ%","54ʡ%","36ʡ%","--","--","--","999.76ʡhPa","996.01ʡhPa","--"
"6/2/2023","13.5ʡC","7.3ʡC","1.9ʡC","2.0ʡC","-0.3ʡC","-1.7ʡC","81ʡ%","60ʡ%","39ʡ%","--","--","--","1,003.12ʡhPa","999.86ʡhPa","--"
"6/3/2023","13.0ʡC","8.2ʡC","3.2ʡC","6.9ʡC","3.5ʡC","0.3ʡC","93ʡ%","73ʡ%","56ʡ%","--","--","--","1,001.97ʡhPa","996.26ʡhPa","--"
"6/4/2023","16.9ʡC","10.8ʡC","6.5ʡC","5.2ʡC","3.5ʡC","2.0ʡC","75ʡ%","62ʡ%","43ʡ%","--","--","--","1,000.86ʡhPa","998.51ʡhPa","--"
"6/5/2023","15.9ʡC","11.1ʡC","6.0ʡC","5.5ʡC","2.8ʡC","0.2ʡC","87ʡ%","59ʡ%","36ʡ%","--","--","--","1,001.26ʡhPa","999.46ʡhPa","--"
"6/6/2023","13.9ʡC","9.4ʡC","5.3ʡC","8.1ʡC","3.9ʡC","1.4ʡC","81ʡ%","69ʡ%","54ʡ%","--","--","--","1,002.97ʡhPa","999.51ʡhPa","--"
"6/7/2023","16.8ʡC","10.5ʡC","3.0ʡC","7.5ʡC","2.8ʡC","0.8ʡC","91ʡ%","61ʡ%","40ʡ%","--","--","--","1,004.07ʡhPa","999.71ʡhPa","--"
"6/8/2023","14.2ʡC","9.6ʡC","4.4ʡC","7.9ʡC","3.2ʡC","0.2ʡC","99ʡ%","68ʡ%","41ʡ%","--","--","--","1,006.07ʡhPa","1,000.71ʡhPa","--"
"6/9/2023","18.4ʡC","11.4ʡC","4.1ʡC","6.0ʡC","1.6ʡC","-0.5ʡC","73ʡ%","53ʡ%","32ʡ%","--","--","--","1,009.07ʡhPa","1,006.12ʡhPa","--"
"6/10/2023","22.9ʡC","15.0ʡC","5.8ʡC","7.8ʡC","5.0ʡC","1.7ʡC","76ʡ%","53ʡ%","36ʡ%","--","--","--","1,009.62ʡhPa","1,006.77ʡhPa","--"
"6/11/2023","24.6ʡC","18.2ʡC","8.8ʡC","6.2ʡC","4.6ʡC","2.0ʡC","77ʡ%","44ʡ%","23ʡ%","--","--","--","1,007.77ʡhPa","1,002.92ʡhPa","--"
"6/12/2023","25.5ʡC","19.1ʡC","10.5ʡC","10.4ʡC","7.7ʡC","3.5ʡC","87ʡ%","51ʡ%","24ʡ%","--","--","--","1,005.12ʡhPa","998.86ʡhPa","--"
"6/13/2023","22.9ʡC","18.4ʡC","14.1ʡC","10.6ʡC","8.6ʡC","6.8ʡC","70ʡ%","54ʡ%","38ʡ%","--","--","--","1,003.62ʡhPa","999.36ʡhPa","--"
"6/14/2023","26.6ʡC","18.6ʡC","8.1ʡC","9.2ʡC","6.5ʡC","2.7ʡC","95ʡ%","51ʡ%","24ʡ%","--","--","--","1,005.02ʡhPa","1,002.22ʡhPa","--"
"6/15/2023","26.6ʡC","18.9ʡC","9.4ʡC","9.2ʡC","5.4ʡC","1.7ʡC","84ʡ%","46ʡ%","20ʡ%","--","--","--","1,004.42ʡhPa","1,000.71ʡhPa","--"
"6/16/2023","28.1ʡC","19.2ʡC","8.7ʡC","9.2ʡC","7.6ʡC","5.1ʡC","96ʡ%","52ʡ%","28ʡ%","--","--","--","1,001.32ʡhPa","998.11ʡhPa","--"
"6/17/2023","26.5ʡC","19.0ʡC","9.3ʡC","10.7ʡC","7.6ʡC","5.1ʡC","87ʡ%","51ʡ%","29ʡ%","--","--","--","1,001.66ʡhPa","999.66ʡhPa","--"
"6/18/2023","27.4ʡC","19.1ʡC","9.0ʡC","11.8ʡC","9.2ʡC","6.2ʡC","93ʡ%","56ʡ%","30ʡ%","--","--","--","1,002.02ʡhPa","999.81ʡhPa","--"
"6/19/2023","27.9ʡC","20.1ʡC","11.0ʡC","13.8ʡC","10.5ʡC","7.3ʡC","94ʡ%","58ʡ%","30ʡ%","--","--","--","1,001.71ʡhPa","998.56ʡhPa","--"
"6/20/2023","24.2ʡC","20.0ʡC","15.0ʡC","15.3ʡC","13.2ʡC","9.8ʡC","83ʡ%","66ʡ%","45ʡ%","--","--","--","999.11ʡhPa","996.11ʡhPa","--"
"6/21/2023","27.8ʡC","21.6ʡC","14.1ʡC","16.0ʡC","13.9ʡC","11.3ʡC","97ʡ%","65ʡ%","36ʡ%","--","--","--","996.86ʡhPa","990.51ʡhPa","--"
"6/22/2023","20.2ʡC","17.0ʡC","12.9ʡC","18.2ʡC","13.4ʡC","8.2ʡC","100ʡ%","80ʡ%","53ʡ%","--","--","--","992.76ʡhPa","987.96ʡhPa","--"
"6/23/2023","17.0ʡC","13.6ʡC","9.4ʡC","11.0ʡC","8.5ʡC","4.6ʡC","89ʡ%","72ʡ%","60ʡ%","--","--","--","997.56ʡhPa","992.61ʡhPa","--"
"6/24/2023","21.3ʡC","15.2ʡC","7.8ʡC","9.3ʡC","6.4ʡC","2.3ʡC","72ʡ%","57ʡ%","45ʡ%","--","--","--","999.91ʡhPa","997.66ʡhPa","--"
"6/25/2023","24.8ʡC","17.7ʡC","10.2ʡC","11.9ʡC","9.0ʡC","7.1ʡC","81ʡ%","59ʡ%","35ʡ%","--","--","--","1,001.41ʡhPa","998.71ʡhPa","--"
"6/26/2023","25.8ʡC","18.8ʡC","10.8ʡC","13.8ʡC","11.8ʡC","10.0ʡC","97ʡ%","67ʡ%","41ʡ%","--","--","--","999.56ʡhPa","992.06ʡhPa","--"
"6/27/2023","25.9ʡC","18.3ʡC","11.3ʡC","14.5ʡC","11.9ʡC","8.8ʡC","99ʡ%","70ʡ%","35ʡ%","--","--","--","992.86ʡhPa","990.96ʡhPa","--"
"6/28/2023","25.2ʡC","19.5ʡC","13.5ʡC","15.3ʡC","13.3ʡC","11.5ʡC","94ʡ%","69ʡ%","47ʡ%","--","--","--","993.56ʡhPa","991.01ʡhPa","--"
"6/29/2023","28.4ʡC","20.9ʡC","12.5ʡC","15.8ʡC","12.6ʡC","8.5ʡC","99ʡ%","64ʡ%","30ʡ%","--","--","--","991.26ʡhPa","987.66ʡhPa","--"
"6/30/2023","25.5ʡC","19.8ʡC","14.8ʡC","14.8ʡC","12.6ʡC","10.6ʡC","92ʡ%","66ʡ%","40ʡ%","--","--","--","987.71ʡhPa","982.31ʡhPa","--"
