"","Temperature","","","Dew Point","","","Humidity","","","Speed","","","Pressure","","Precip. Accum."
"Date","High","Avg","Low","High","Avg","Low","High","Avg","Low","High","Avg","Low","High","Low","Sum"
"4/1/2023","4.8ʡC","-1.3ʡC","-6.9ʡC","-8.4ʡC","-9.2ʡC","-10.1ʡC","79ʡ%","57ʡ%","36ʡ%","--","--","--","1,004.12ʡhPa","993.01ʡhPa","--"
"4/2/2023","3.8ʡC","-1.3ʡC","-5.3ʡC","-8.0ʡC","-9.8ʡC","-12.3ʡC","74ʡ%","55ʡ%","31ʡ%","--","--","--","1,018.57ʡhPa","1,004.27ʡhPa","--"
"4/3/2023","5.1ʡC","-1.9ʡC","-10.8ʡC","-1.7ʡC","-7.9ʡC","-11.7ʡC","95ʡ%","67ʡ%","37ʡ%","--","--","--","1,019.12ʡhPa","1,011.17ʡhPa","--"
"4/4/2023","10.2ʡC","2.7ʡC","-4.1ʡC","-0.2ʡC","-2.6ʡC","-4.2ʡC","100ʡ%","72ʡ%","40ʡ%","--","--","--","1,011.17ʡhPa","1,008.17ʡhPa","--"
"4/5/2023","8.4ʡC","1.9ʡC","-3.9ʡC","-2.0ʡC","-4.0ʡC","-9.2ʡC","97ʡ%","68ʡ%","43ʡ%","--","--","--","1,010.02ʡhPa","1,008.47ʡhPa","--"
"4/6/2023","3.4ʡC","-0.7ʡC","-5.7ʡC","1.0ʡC","-3.3ʡC","-8.8ʡC","100ʡ%","83ʡ%","62ʡ%","--","--","--","1,009.97ʡhPa","1,007.77ʡhPa","--"
"4/7/2023","7.7ʡC","2.1ʡC","-2.9ʡC","1.4ʡC","-3.4ʡC","-7.8ʡC","100ʡ%","72ʡ%","35ʡ%","--","--","--","1,012.77ʡhPa","1,007.47ʡhPa","--"
"4/8/2023","10.1ʡC","2.3ʡC","-4.9ʡC","-0.6ʡC","-4.2ʡC","-7.0ʡC","87ʡ%","64ʡ%","41ʡ%","--","--","--","1,013.87ʡhPa","1,012.17ʡhPa","--"
"4/9/2023","8.3ʡC","3.5ʡC","-0.3ʡC","1.4ʡC","-0.9ʡC","-3.4ʡC","95ʡ%","74ʡ%","56ʡ%","--","--","--","1,014.67ʡhPa","1,011.82ʡhPa","--"
"4/10/2023","8.7ʡC","2.3ʡC","-2.1ʡC","2.6ʡC","-0.1ʡC","-2.2ʡC","100ʡ%","87ʡ%","47ʡ%","--","--","--","1,011.77ʡhPa","1,000.51ʡhPa","--"
"4/11/2023","9.1ʡC","3.9ʡC","0.4ʡC","1.1ʡC","-1.2ʡC","-3.0ʡC","98ʡ%","72ʡ%","46ʡ%","--","--","--","1,000.41ʡhPa","995.11ʡhPa","--"
"4/12/2023","10.1ʡC","4.9ʡC","0.8ʡC","2.5ʡC","0.4ʡC","-2.4ʡC","96ʡ%","74ʡ%","53ʡ%","--","--","--","999.31ʡhPa","995.06ʡhPa","--"
"4/13/2023","7.8ʡC","3.6ʡC","0.9ʡC","2.5ʡC","0.2ʡC","-5.2ʡC","100ʡ%","80ʡ%","56ʡ%","--","--","--","1,006.22ʡhPa","998.96ʡhPa","--"
