"","Temperature","","","Dew Point","","","Humidity","","","Speed","","","Pressure","","Precip. Accum."
"Date","High","Avg","Low","High","Avg","Low","High","Avg","Low","High","Avg","Low","High","Low","Sum"
"2/1/2023","-2.6ʡC","-6.9ʡC","-12.7ʡC","-4.0ʡC","-7.6ʡC","-13.0ʡC","100ʡ%","94ʡ%","86ʡ%","--","--","--","986.01ʡhPa","971.51ʡhPa","--"
"2/2/2023","-6.9ʡC","-10.4ʡC","-18.1ʡC","-9.4ʡC","-11.4ʡC","-19.0ʡC","98ʡ%","92ʡ%","82ʡ%","--","--","--","997.61ʡhPa","986.11ʡhPa","--"
"2/3/2023","-13.7ʡC","-18.9ʡC","-22.4ʡC","-14.7ʡC","-19.8ʡC","-23.6ʡC","95ʡ%","92ʡ%","90ʡ%","--","--","--","1,013.72ʡhPa","997.16ʡhPa","--"
"2/4/2023","-17.1ʡC","-20.8ʡC","-24.8ʡC","-18.0ʡC","-21.9ʡC","-26.1ʡC","94ʡ%","91ʡ%","87ʡ%","--","--","--","1,018.87ʡhPa","1,007.37ʡhPa","--"
"2/5/2023","0.2ʡC","-8.8ʡC","-20.8ʡC","-2.2ʡC","-10.5ʡC","-21.9ʡC","100ʡ%","89ʡ%","78ʡ%","--","--","--","1,012.32ʡhPa","1,003.77ʡhPa","--"
"2/6/2023","-0.4ʡC","-3.2ʡC","-6.5ʡC","-2.1ʡC","-4.2ʡC","-7.0ʡC","100ʡ%","93ʡ%","82ʡ%","--","--","--","1,014.52ʡhPa","1,009.37ʡhPa","--"
"2/7/2023","0.0ʡC","-2.0ʡC","-4.3ʡC","-1.9ʡC","-3.0ʡC","-4.4ʡC","100ʡ%","93ʡ%","83ʡ%","--","--","--","1,009.57ʡhPa","1,004.47ʡhPa","--"
"2/8/2023","4.4ʡC","-1.6ʡC","-7.7ʡC","0.9ʡC","-2.9ʡC","-7.9ʡC","100ʡ%","92ʡ%","78ʡ%","--","--","--","1,009.62ʡhPa","987.86ʡhPa","--"
"2/9/2023","4.7ʡC","2.5ʡC","-0.5ʡC","1.0ʡC","-1.4ʡC","-4.8ʡC","94ʡ%","76ʡ%","60ʡ%","--","--","--","987.81ʡhPa","974.51ʡhPa","--"
"2/10/2023","53.5ʡC","-0.5ʡC","-83.2ʡC","27.9ʡC","-6.7ʡC","-41.8ʡC","98ʡ%","63ʡ%","2ʡ%","--","--","--","1,039.97ʡhPa","956.31ʡhPa","--"
"2/11/2023","-0.7ʡC","-4.7ʡC","-8.7ʡC","-6.4ʡC","-8.2ʡC","-10.4ʡC","91ʡ%","78ʡ%","61ʡ%","--","--","--","1,002.97ʡhPa","982.81ʡhPa","--"
"2/12/2023","8.1ʡC","2.5ʡC","-5.5ʡC","3.3ʡC","-0.5ʡC","-7.3ʡC","95ʡ%","81ʡ%","66ʡ%","--","--","--","1,001.77ʡhPa","994.31ʡhPa","--"
"2/13/2023","7.1ʡC","5.0ʡC","3.6ʡC","2.9ʡC","1.9ʡC","1.1ʡC","89ʡ%","80ʡ%","70ʡ%","--","--","--","1,007.77ʡhPa","995.76ʡhPa","--"
"2/14/2023","6.6ʡC","2.7ʡC","-2.3ʡC","2.5ʡC","0.5ʡC","-2.6ʡC","100ʡ%","86ʡ%","60ʡ%","--","--","--","1,010.22ʡhPa","1,006.82ʡhPa","--"
"2/15/2023","-0.9ʡC","-4.4ʡC","-7.4ʡC","-2.3ʡC","-4.7ʡC","-7.5ʡC","100ʡ%","98ʡ%","88ʡ%","--","--","--","1,006.77ʡhPa","993.46ʡhPa","--"
"2/16/2023","0.1ʡC","-3.8ʡC","-7.9ʡC","-0.9ʡC","-4.1ʡC","-8.1ʡC","100ʡ%","98ʡ%","91ʡ%","--","--","--","993.41ʡhPa","986.21ʡhPa","--"
"2/17/2023","-1.6ʡC","-4.0ʡC","-8.3ʡC","-1.6ʡC","-4.6ʡC","-8.4ʡC","100ʡ%","96ʡ%","85ʡ%","--","--","--","986.16ʡhPa","971.21ʡhPa","--"
"2/18/2023","0.3ʡC","-1.6ʡC","-3.6ʡC","-0.6ʡC","-2.4ʡC","-5.4ʡC","100ʡ%","95ʡ%","86ʡ%","--","--","--","977.16ʡhPa","971.66ʡhPa","--"
"2/19/2023","0.8ʡC","-1.8ʡC","-5.3ʡC","-4.6ʡC","-5.4ʡC","-7.0ʡC","88ʡ%","77ʡ%","64ʡ%","--","--","--","984.21ʡhPa","977.21ʡhPa","--"
"2/20/2023","-2.8ʡC","-5.1ʡC","-8.8ʡC","-2.9ʡC","-5.6ʡC","-9.5ʡC","100ʡ%","96ʡ%","88ʡ%","--","--","--","982.91ʡhPa","968.16ʡhPa","--"
"2/21/2023","-3.0ʡC","-5.4ʡC","-9.7ʡC","-3.0ʡC","-5.9ʡC","-10.1ʡC","100ʡ%","97ʡ%","86ʡ%","--","--","--","999.76ʡhPa","974.46ʡhPa","--"
"2/22/2023","-4.0ʡC","-6.6ʡC","-12.5ʡC","-5.0ʡC","-7.6ʡC","-13.0ʡC","100ʡ%","92ʡ%","86ʡ%","--","--","--","1,001.26ʡhPa","990.51ʡhPa","--"
"2/23/2023","0.8ʡC","-2.4ʡC","-5.4ʡC","-2.2ʡC","-4.1ʡC","-6.8ʡC","100ʡ%","88ʡ%","74ʡ%","--","--","--","990.41ʡhPa","980.96ʡhPa","--"
"2/24/2023","-0.1ʡC","-4.9ʡC","-8.1ʡC","-3.3ʡC","-6.5ʡC","-8.7ʡC","95ʡ%","89ʡ%","74ʡ%","--","--","--","983.76ʡhPa","977.26ʡhPa","--"
"2/25/2023","0.5ʡC","-4.7ʡC","-9.1ʡC","-4.7ʡC","-7.2ʡC","-9.8ʡC","99ʡ%","83ʡ%","67ʡ%","--","--","--","997.16ʡhPa","983.71ʡhPa","--"
"2/26/2023","2.9ʡC","-1.4ʡC","-5.9ʡC","0.6ʡC","-3.5ʡC","-6.8ʡC","100ʡ%","87ʡ%","70ʡ%","--","--","--","1,001.97ʡhPa","997.21ʡhPa","--"
"2/27/2023","8.3ʡC","4.1ʡC","-0.6ʡC","1.8ʡC","0.8ʡC","-0.6ʡC","100ʡ%","80ʡ%","62ʡ%","--","--","--","1,004.87ʡhPa","1,002.02ʡhPa","--"
"2/28/2023","4.8ʡC","3.2ʡC","0.6ʡC","0.9ʡC","-1.4ʡC","-3.2ʡC","83ʡ%","72ʡ%","60ʡ%","--","--","--","1,007.72ʡhPa","1,002.87ʡhPa","--"
