"","Temperature","","","Dew Point","","","Humidity","","","Speed","","","Pressure","","Precip. Accum."
"Date","High","Avg","Low","High","Avg","Low","High","Avg","Low","High","Avg","Low","High","Low","Sum"
"4/1/2025","11.3ʡC","6.5ʡC","-0.6ʡC","6.1ʡC","1.5ʡC","-3.4ʡC","84ʡ%","71ʡ%","57ʡ%","--","--","--","1,009.87ʡhPa","1,006.12ʡhPa","--"
"4/2/2025","14.2ʡC","9.9ʡC","3.2ʡC","6.2ʡC","3.8ʡC","-0.6ʡC","91ʡ%","68ʡ%","44ʡ%","--","--","--","1,010.32ʡhPa","1,008.02ʡhPa","--"
"4/3/2025","13.1ʡC","5.8ʡC","1.4ʡC","2.3ʡC","-1.5ʡC","-5.6ʡC","85ʡ%","61ʡ%","37ʡ%","--","--","--","1,007.92ʡhPa","1,000.36ʡhPa","--"
"4/4/2025","6.7ʡC","2.6ʡC","-1.9ʡC","-2.7ʡC","-4.7ʡC","-6.7ʡC","89ʡ%","60ʡ%","41ʡ%","--","--","--","1,003.87ʡhPa","1,000.86ʡhPa","--"
"4/5/2025","5.4ʡC","0.6ʡC","-4.4ʡC","-1.4ʡC","-4.4ʡC","-6.0ʡC","91ʡ%","71ʡ%","46ʡ%","--","--","--","1,008.32ʡhPa","1,003.97ʡhPa","--"
"4/6/2025","10.0ʡC","6.0ʡC","2.6ʡC","-0.1ʡC","-0.7ʡC","-1.3ʡC","76ʡ%","63ʡ%","48ʡ%","--","--","--","1,005.12ʡhPa","1,002.92ʡhPa","--"
"4/7/2025","11.8ʡC","6.1ʡC","0.9ʡC","1.0ʡC","-0.5ʡC","-2.1ʡC","82ʡ%","64ʡ%","39ʡ%","--","--","--","1,010.07ʡhPa","1,004.62ʡhPa","--"
"4/8/2025","13.2ʡC","4.7ʡC","-3.8ʡC","2.6ʡC","-0.6ʡC","-4.3ʡC","97ʡ%","71ʡ%","45ʡ%","--","--","--","1,010.17ʡhPa","1,000.11ʡhPa","--"
"4/9/2025","4.8ʡC","1.9ʡC","-1.9ʡC","0.3ʡC","-8.3ʡC","-12.5ʡC","76ʡ%","49ʡ%","29ʡ%","--","--","--","1,003.17ʡhPa","998.46ʡhPa","--"
"4/10/2025","8.7ʡC","2.0ʡC","-2.4ʡC","4.1ʡC","-1.7ʡC","-8.8ʡC","96ʡ%","77ʡ%","59ʡ%","--","--","--","1,002.72ʡhPa","978.16ʡhPa","--"
"4/11/2025","5.7ʡC","2.0ʡC","-1.6ʡC","-0.2ʡC","-7.3ʡC","-10.3ʡC","94ʡ%","52ʡ%","33ʡ%","--","--","--","989.46ʡhPa","982.41ʡhPa","--"
"4/12/2025","11.4ʡC","6.1ʡC","0.7ʡC","3.0ʡC","-1.4ʡC","-6.5ʡC","97ʡ%","62ʡ%","30ʡ%","--","--","--","988.46ʡhPa","980.46ʡhPa","--"
"4/13/2025","18.2ʡC","8.6ʡC","-0.3ʡC","5.3ʡC","1.0ʡC","-2.0ʡC","89ʡ%","63ʡ%","33ʡ%","--","--","--","989.11ʡhPa","979.46ʡhPa","--"
"4/14/2025","12.1ʡC","7.1ʡC","1.9ʡC","8.4ʡC","3.3ʡC","-1.1ʡC","98ʡ%","78ʡ%","55ʡ%","--","--","--","991.36ʡhPa","976.66ʡhPa","--"
"4/15/2025","15.9ʡC","7.1ʡC","-1.6ʡC","2.6ʡC","0.3ʡC","-2.4ʡC","96ʡ%","66ʡ%","36ʡ%","--","--","--","998.91ʡhPa","991.46ʡhPa","--"
"4/16/2025","18.6ʡC","8.6ʡC","0.0ʡC","8.7ʡC","3.8ʡC","-1.0ʡC","95ʡ%","74ʡ%","48ʡ%","--","--","--","998.86ʡhPa","995.06ʡhPa","--"
"4/17/2025","20.4ʡC","11.8ʡC","4.9ʡC","9.4ʡC","6.6ʡC","3.9ʡC","94ʡ%","73ʡ%","49ʡ%","--","--","--","995.96ʡhPa","992.81ʡhPa","--"
"4/18/2025","14.4ʡC","9.2ʡC","4.3ʡC","7.7ʡC","5.3ʡC","1.5ʡC","95ʡ%","78ʡ%","48ʡ%","--","--","--","994.96ʡhPa","990.31ʡhPa","--"
"4/19/2025","12.4ʡC","7.1ʡC","1.3ʡC","2.1ʡC","1.2ʡC","-0.3ʡC","93ʡ%","68ʡ%","47ʡ%","--","--","--","998.21ʡhPa","995.11ʡhPa","--"
"4/20/2025","10.9ʡC","4.9ʡC","-0.9ʡC","-0.6ʡC","-2.7ʡC","-5.6ʡC","82ʡ%","60ʡ%","33ʡ%","--","--","--","999.11ʡhPa","995.01ʡhPa","--"
"4/21/2025","10.7ʡC","3.1ʡC","-4.0ʡC","-2.7ʡC","-5.4ʡC","-7.4ʡC","92ʡ%","58ʡ%","32ʡ%","--","--","--","1,002.52ʡhPa","996.81ʡhPa","--"
"4/22/2025","6.1ʡC","1.1ʡC","-4.6ʡC","1.4ʡC","-3.6ʡC","-7.4ʡC","90ʡ%","72ʡ%","58ʡ%","--","--","--","1,002.47ʡhPa","996.91ʡhPa","--"
"4/23/2025","9.6ʡC","4.6ʡC","-1.7ʡC","2.2ʡC","-3.8ʡC","-9.9ʡC","97ʡ%","61ʡ%","25ʡ%","--","--","--","1,004.77ʡhPa","996.66ʡhPa","--"
