"","Temperature","","","Dew Point","","","Humidity","","","Speed","","","Pressure","","Precip. Accum."
"Date","High","Avg","Low","High","Avg","Low","High","Avg","Low","High","Avg","Low","High","Low","Sum"
"6/2/2025","9.2ʡC","8.5ʡC","7.6ʡC","7.6ʡC","7.2ʡC","6.6ʡC","94ʡ%","92ʡ%","89ʡ%","--","--","--","982.51ʡhPa","981.36ʡhPa","--"
"6/3/2025","17.7ʡC","11.5ʡC","4.1ʡC","6.5ʡC","4.4ʡC","1.6ʡC","96ʡ%","65ʡ%","36ʡ%","--","--","--","985.96ʡhPa","982.61ʡhPa","--"
"6/4/2025","16.5ʡC","11.7ʡC","5.0ʡC","10.0ʡC","7.7ʡC","4.2ʡC","95ʡ%","77ʡ%","63ʡ%","--","--","--","983.01ʡhPa","977.26ʡhPa","--"
"6/5/2025","17.7ʡC","13.5ʡC","8.7ʡC","9.4ʡC","5.4ʡC","1.3ʡC","97ʡ%","62ʡ%","35ʡ%","--","--","--","979.71ʡhPa","975.61ʡhPa","--"
"6/6/2025","16.1ʡC","12.8ʡC","8.9ʡC","11.0ʡC","7.9ʡC","5.0ʡC","91ʡ%","72ʡ%","60ʡ%","--","--","--","979.91ʡhPa","975.86ʡhPa","--"
"6/7/2025","12.8ʡC","10.1ʡC","7.5ʡC","10.4ʡC","8.6ʡC","6.9ʡC","96ʡ%","91ʡ%","77ʡ%","--","--","--","976.31ʡhPa","970.46ʡhPa","--"
"6/8/2025","15.9ʡC","10.7ʡC","6.2ʡC","8.5ʡC","5.7ʡC","3.7ʡC","97ʡ%","74ʡ%","44ʡ%","--","--","--","981.76ʡhPa","976.41ʡhPa","--"
"6/9/2025","15.3ʡC","8.9ʡC","2.3ʡC","9.9ʡC","6.9ʡC","1.7ʡC","96ʡ%","88ʡ%","60ʡ%","--","--","--","987.31ʡhPa","981.66ʡhPa","--"
"6/10/2025","15.9ʡC","10.6ʡC","5.1ʡC","7.1ʡC","4.4ʡC","-0.2ʡC","96ʡ%","68ʡ%","33ʡ%","--","--","--","988.51ʡhPa","986.51ʡhPa","--"
"6/11/2025","14.1ʡC","9.8ʡC","4.8ʡC","9.8ʡC","6.6ʡC","4.1ʡC","95ʡ%","82ʡ%","59ʡ%","--","--","--","997.51ʡhPa","987.16ʡhPa","--"
"6/12/2025","16.0ʡC","10.4ʡC","4.6ʡC","7.2ʡC","4.0ʡC","1.6ʡC","93ʡ%","67ʡ%","38ʡ%","--","--","--","1,006.97ʡhPa","997.66ʡhPa","--"
"6/13/2025","19.2ʡC","13.4ʡC","5.7ʡC","8.9ʡC","6.8ʡC","4.6ʡC","94ʡ%","67ʡ%","48ʡ%","--","--","--","1,008.02ʡhPa","1,003.47ʡhPa","--"
"6/14/2025","25.8ʡC","18.1ʡC","8.2ʡC","15.3ʡC","10.7ʡC","6.2ʡC","89ʡ%","64ʡ%","43ʡ%","--","--","--","1,003.47ʡhPa","995.46ʡhPa","--"
"6/15/2025","24.9ʡC","18.1ʡC","10.3ʡC","15.3ʡC","12.0ʡC","7.9ʡC","94ʡ%","70ʡ%","51ʡ%","--","--","--","995.36ʡhPa","989.46ʡhPa","--"
"6/16/2025","14.3ʡC","12.3ʡC","9.3ʡC","12.1ʡC","8.9ʡC","3.2ʡC","96ʡ%","82ʡ%","48ʡ%","--","--","--","991.16ʡhPa","986.81ʡhPa","--"
"6/17/2025","18.7ʡC","13.4ʡC","7.7ʡC","12.5ʡC","9.5ʡC","7.0ʡC","97ʡ%","79ʡ%","54ʡ%","--","--","--","989.46ʡhPa","982.86ʡhPa","--"
"6/18/2025","14.9ʡC","11.9ʡC","8.3ʡC","11.3ʡC","7.8ʡC","5.3ʡC","97ʡ%","77ʡ%","57ʡ%","--","--","--","987.16ʡhPa","983.31ʡhPa","--"
"6/19/2025","15.5ʡC","11.4ʡC","6.0ʡC","7.1ʡC","5.5ʡC","4.0ʡC","88ʡ%","68ʡ%","53ʡ%","--","--","--","995.16ʡhPa","987.21ʡhPa","--"
"6/20/2025","16.2ʡC","11.9ʡC","6.9ʡC","10.5ʡC","7.5ʡC","5.1ʡC","94ʡ%","75ʡ%","55ʡ%","--","--","--","997.86ʡhPa","990.76ʡhPa","--"
"6/21/2025","12.6ʡC","10.4ʡC","8.3ʡC","9.4ʡC","8.2ʡC","6.5ʡC","96ʡ%","87ʡ%","73ʡ%","--","--","--","996.81ʡhPa","986.41ʡhPa","--"
"6/22/2025","17.1ʡC","12.5ʡC","6.1ʡC","10.2ʡC","7.3ʡC","5.6ʡC","98ʡ%","73ʡ%","50ʡ%","--","--","--","997.51ʡhPa","986.76ʡhPa","--"
"6/23/2025","12.3ʡC","11.3ʡC","10.1ʡC","11.2ʡC","10.0ʡC","6.7ʡC","96ʡ%","92ʡ%","74ʡ%","--","--","--","986.66ʡhPa","970.71ʡhPa","--"
"6/24/2025","12.3ʡC","11.0ʡC","9.8ʡC","11.3ʡC","10.3ʡC","9.3ʡC","98ʡ%","95ʡ%","92ʡ%","--","--","--","972.06ʡhPa","968.71ʡhPa","--"
"6/25/2025","18.8ʡC","14.1ʡC","10.3ʡC","12.3ʡC","9.6ʡC","5.7ʡC","97ʡ%","76ʡ%","53ʡ%","--","--","--","984.56ʡhPa","972.11ʡhPa","--"
"6/26/2025","20.6ʡC","13.7ʡC","5.1ʡC","9.0ʡC","6.4ʡC","3.8ʡC","93ʡ%","64ʡ%","38ʡ%","--","--","--","987.56ʡhPa","984.46ʡhPa","--"
"6/27/2025","16.7ʡC","12.8ʡC","9.8ʡC","13.3ʡC","10.0ʡC","5.1ʡC","95ʡ%","83ʡ%","66ʡ%","--","--","--","985.16ʡhPa","981.06ʡhPa","--"
"6/28/2025","16.9ʡC","12.1ʡC","9.0ʡC","12.1ʡC","9.7ʡC","8.2ʡC","96ʡ%","86ʡ%","59ʡ%","--","--","--","986.61ʡhPa","978.91ʡhPa","--"
"6/29/2025","17.6ʡC","11.9ʡC","6.9ʡC","9.9ʡC","7.9ʡC","6.1ʡC","98ʡ%","78ʡ%","51ʡ%","--","--","--","983.76ʡhPa","977.06ʡhPa","--"
"6/30/2025","17.4ʡC","13.4ʡC","7.8ʡC","8.8ʡC","7.3ʡC","5.6ʡC","91ʡ%","68ʡ%","49ʡ%","--","--","--","994.96ʡhPa","983.81ʡhPa","--"
