"","Temperature","","","Dew Point","","","Humidity","","","Speed","","","Pressure","","Precip. Accum."
"Date","High","Avg","Low","High","Avg","Low","High","Avg","Low","High","Avg","Low","High","Low","Sum"
"6/1/2025","8.7ʡC","8.5ʡC","8.3ʡC","7.5ʡC","7.2ʡC","7.0ʡC","95ʡ%","92ʡ%","89ʡ%","--","--","--","979.46ʡhPa","978.86ʡhPa","--"
"6/2/2025","16.0ʡC","11.8ʡC","8.1ʡC","10.1ʡC","7.1ʡC","4.1ʡC","97ʡ%","75ʡ%","46ʡ%","--","--","--","980.86ʡhPa","972.76ʡhPa","--"
"6/3/2025","17.6ʡC","11.4ʡC","5.0ʡC","6.7ʡC","4.3ʡC","1.2ʡC","94ʡ%","65ʡ%","36ʡ%","--","--","--","984.31ʡhPa","981.01ʡhPa","--"
"6/4/2025","16.6ʡC","11.9ʡC","5.7ʡC","10.0ʡC","7.7ʡC","4.6ʡC","93ʡ%","76ʡ%","63ʡ%","--","--","--","981.31ʡhPa","975.46ʡhPa","--"
"6/5/2025","17.6ʡC","13.7ʡC","9.0ʡC","9.4ʡC","5.2ʡC","1.1ʡC","96ʡ%","60ʡ%","34ʡ%","--","--","--","978.06ʡhPa","973.86ʡhPa","--"
"6/6/2025","16.0ʡC","12.9ʡC","9.6ʡC","10.8ʡC","7.8ʡC","4.8ʡC","92ʡ%","72ʡ%","59ʡ%","--","--","--","978.26ʡhPa","974.16ʡhPa","--"
"6/7/2025","12.7ʡC","10.1ʡC","7.6ʡC","10.4ʡC","8.7ʡC","7.0ʡC","97ʡ%","91ʡ%","78ʡ%","--","--","--","974.81ʡhPa","968.81ʡhPa","--"
"6/8/2025","15.9ʡC","10.6ʡC","6.4ʡC","7.3ʡC","5.3ʡC","2.9ʡC","97ʡ%","73ʡ%","43ʡ%","--","--","--","980.26ʡhPa","974.91ʡhPa","--"
"6/9/2025","14.4ʡC","8.8ʡC","2.2ʡC","9.5ʡC","6.7ʡC","1.7ʡC","97ʡ%","87ʡ%","58ʡ%","--","--","--","985.76ʡhPa","980.21ʡhPa","--"
"6/10/2025","15.3ʡC","10.5ʡC","5.6ʡC","6.9ʡC","4.2ʡC","0.0ʡC","88ʡ%","67ʡ%","35ʡ%","--","--","--","987.06ʡhPa","984.76ʡhPa","--"
"6/11/2025","13.9ʡC","9.7ʡC","5.0ʡC","8.5ʡC","6.3ʡC","4.2ʡC","95ʡ%","80ʡ%","55ʡ%","--","--","--","995.96ʡhPa","985.56ʡhPa","--"
"6/12/2025","15.3ʡC","10.1ʡC","5.1ʡC","6.3ʡC","4.0ʡC","2.4ʡC","92ʡ%","68ʡ%","43ʡ%","--","--","--","1,005.42ʡhPa","996.06ʡhPa","--"
"6/13/2025","18.7ʡC","13.4ʡC","6.1ʡC","9.1ʡC","6.9ʡC","4.7ʡC","93ʡ%","67ʡ%","49ʡ%","--","--","--","1,006.42ʡhPa","1,001.82ʡhPa","--"
"6/14/2025","25.6ʡC","17.9ʡC","9.2ʡC","15.3ʡC","10.5ʡC","6.1ʡC","85ʡ%","64ʡ%","44ʡ%","--","--","--","1,001.82ʡhPa","993.71ʡhPa","--"
"6/15/2025","24.2ʡC","17.8ʡC","10.4ʡC","14.9ʡC","12.2ʡC","8.2ʡC","94ʡ%","71ʡ%","52ʡ%","--","--","--","993.66ʡhPa","987.91ʡhPa","--"
"6/16/2025","14.3ʡC","12.4ʡC","9.9ʡC","12.0ʡC","9.0ʡC","3.4ʡC","96ʡ%","82ʡ%","48ʡ%","--","--","--","989.51ʡhPa","985.16ʡhPa","--"
"6/17/2025","17.9ʡC","13.4ʡC","8.6ʡC","12.6ʡC","9.4ʡC","7.4ʡC","95ʡ%","78ʡ%","55ʡ%","--","--","--","988.01ʡhPa","981.21ʡhPa","--"
"6/18/2025","14.4ʡC","12.1ʡC","8.8ʡC","11.7ʡC","7.7ʡC","5.1ʡC","96ʡ%","76ʡ%","56ʡ%","--","--","--","985.66ʡhPa","981.61ʡhPa","--"
"6/19/2025","14.8ʡC","11.3ʡC","6.4ʡC","6.6ʡC","5.6ʡC","4.0ʡC","85ʡ%","69ʡ%","55ʡ%","--","--","--","993.51ʡhPa","985.71ʡhPa","--"
"6/20/2025","15.8ʡC","11.7ʡC","7.3ʡC","10.0ʡC","7.2ʡC","5.1ʡC","90ʡ%","74ʡ%","59ʡ%","--","--","--","996.16ʡhPa","989.16ʡhPa","--"
"6/21/2025","12.2ʡC","10.5ʡC","8.6ʡC","9.8ʡC","8.2ʡC","6.2ʡC","96ʡ%","86ʡ%","73ʡ%","--","--","--","995.26ʡhPa","984.86ʡhPa","--"
"6/22/2025","17.1ʡC","12.3ʡC","6.1ʡC","9.7ʡC","7.4ʡC","5.8ʡC","98ʡ%","74ʡ%","52ʡ%","--","--","--","996.06ʡhPa","985.16ʡhPa","--"
"6/23/2025","12.3ʡC","11.4ʡC","10.2ʡC","11.4ʡC","10.1ʡC","6.6ʡC","97ʡ%","92ʡ%","74ʡ%","--","--","--","985.01ʡhPa","969.11ʡhPa","--"
"6/24/2025","12.1ʡC","11.1ʡC","10.0ʡC","11.5ʡC","10.4ʡC","9.4ʡC","99ʡ%","96ʡ%","92ʡ%","--","--","--","970.36ʡhPa","967.11ʡhPa","--"
"6/25/2025","17.4ʡC","13.8ʡC","10.6ʡC","11.1ʡC","9.5ʡC","5.9ʡC","98ʡ%","77ʡ%","53ʡ%","--","--","--","982.76ʡhPa","970.41ʡhPa","--"
"6/26/2025","20.4ʡC","13.3ʡC","5.9ʡC","9.1ʡC","6.3ʡC","4.1ʡC","89ʡ%","64ʡ%","43ʡ%","--","--","--","985.71ʡhPa","982.61ʡhPa","--"
"6/27/2025","16.7ʡC","12.9ʡC","10.1ʡC","13.5ʡC","10.1ʡC","5.3ʡC","96ʡ%","84ʡ%","65ʡ%","--","--","--","983.46ʡhPa","979.11ʡhPa","--"
"6/28/2025","16.9ʡC","12.2ʡC","9.2ʡC","12.3ʡC","9.7ʡC","8.3ʡC","97ʡ%","86ʡ%","59ʡ%","--","--","--","985.06ʡhPa","977.16ʡhPa","--"
"6/29/2025","17.1ʡC","11.9ʡC","6.9ʡC","9.2ʡC","7.8ʡC","6.2ʡC","99ʡ%","78ʡ%","51ʡ%","--","--","--","982.11ʡhPa","975.46ʡhPa","--"
"6/30/2025","16.2ʡC","13.3ʡC","7.8ʡC","8.0ʡC","7.2ʡC","6.1ʡC","91ʡ%","68ʡ%","51ʡ%","--","--","--","993.26ʡhPa","982.16ʡhPa","--"
